ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
PTCIL.NS,2025-11,2025-11-01,17151.0,18597.0,16900.0,18177.0,18644.0,17710.0,5.27,
KALYANKJIL.NS,2025-11,2025-11-01,511.0,528.0,479.0,505.0,518.0,492.0,5.28,
PAYTM.NS,2025-11,2025-11-01,1300.0,1354.0,1231.0,1321.0,1355.0,1287.0,5.28,
MANKIND.NS,2025-11,2025-11-01,2383.0,2409.0,2198.0,2251.0,2309.0,2193.0,5.29,
MINDACORP.NS,2025-11,2025-11-01,564.0,620.0,564.0,581.0,596.0,566.0,5.3,
MAXHEALTH.NS,2025-11,2025-11-01,1147.0,1185.0,1075.0,1163.0,1193.0,1133.0,5.3,
TORNTPHARM.NS,2025-11,2025-11-01,3560.0,3882.0,3533.0,3721.0,3817.0,3625.0,5.3,
GICRE.NS,2025-11,2025-11-01,374.0,402.0,366.0,387.0,397.0,377.0,5.31,
GILLETTE.NS,2025-11,2025-11-01,9020.0,9072.0,8255.0,8684.0,8909.0,8459.0,5.32,
POWERGRID.NS,2025-11,2025-11-01,289.0,290.0,265.0,270.0,277.0,263.0,5.32,
JBCHEPHARM.NS,2025-11,2025-11-01,1691.0,1844.0,1675.0,1771.0,1817.0,1725.0,5.33,
VOLTAS.NS,2025-11,2025-11-01,1375.0,1418.0,1288.0,1376.0,1412.0,1340.0,5.37,
AEGISLOG.NS,2025-11,2025-11-01,750.0,821.0,748.0,764.0,784.0,744.0,5.38,
ESCORTS.NS,2025-11,2025-11-01,3796.0,3897.0,3533.0,3817.0,3917.0,3717.0,5.38,
DLF.NS,2025-11,2025-11-01,755.0,784.0,715.0,724.0,743.0,705.0,5.39,
CANBK.NS,2025-11,2025-11-01,138.0,152.0,137.0,152.0,156.0,148.0,5.41,
CENTRALBK.NS,2025-11,2025-11-01,40.0,41.0,37.0,38.0,39.0,37.0,5.41,
DIXON.NS,2025-11,2025-11-01,15494.0,15775.0,14374.0,14601.0,14986.0,14216.0,5.42,
CROMPTON.NS,2025-11,2025-11-01,283.0,286.0,262.0,265.0,272.0,258.0,5.43,
COCHINSHIP.NS,2025-11,2025-11-01,1790.0,1805.0,1645.0,1666.0,1710.0,1622.0,5.43,
BALKRISIND.NS,2025-11,2025-11-01,2260.0,2395.0,2175.0,2309.0,2370.0,2248.0,5.43,
SWIGGY.NS,2025-11,2025-11-01,410.0,415.0,377.0,378.0,388.0,368.0,5.43,
ACC.NS,2025-11,2025-11-01,1920.0,1987.0,1807.0,1851.0,1900.0,1802.0,5.44,
JUBLFOOD.NS,2025-11,2025-11-01,598.0,623.0,565.0,602.0,618.0,586.0,5.46,
CGCL.NS,2025-11,2025-11-01,204.0,205.0,186.0,188.0,193.0,183.0,5.46,
OIL.NS,2025-11,2025-11-01,433.0,450.0,411.0,413.0,424.0,402.0,5.47,
ETERNAL.NS,2025-11,2025-11-01,316.0,324.0,295.0,300.0,308.0,292.0,5.48,
