ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
BALKRISIND.NS,2025-12,2025-12-01,2323.0,2466.0,2290.0,2320.0,2368.0,2272.0,4.23,
ONGC.NS,2025-12,2025-12-01,244.0,246.0,229.0,240.0,245.0,235.0,4.26,
BANKINDIA.NS,2025-12,2025-12-01,148.0,149.0,137.0,144.0,147.0,141.0,4.26,
TATACHEM.NS,2025-12,2025-12-01,801.0,805.0,745.0,766.0,782.0,750.0,4.27,
SBICARD.NS,2025-12,2025-12-01,881.0,894.0,829.0,862.0,880.0,844.0,4.27,
LTTS.NS,2025-12,2025-12-01,4490.0,4726.0,4385.0,4462.0,4556.0,4368.0,4.3,
LICI.NS,2025-12,2025-12-01,897.0,900.0,836.0,855.0,873.0,837.0,4.3,
NTPCGREEN.NS,2025-12,2025-12-01,95.0,97.0,88.0,95.0,97.0,93.0,4.3,
PETRONET.NS,2025-12,2025-12-01,272.0,285.0,264.0,284.0,290.0,278.0,4.32,
ZENTEC.NS,2025-12,2025-12-01,1410.0,1425.0,1318.0,1368.0,1397.0,1339.0,4.33,
RAINBOW.NS,2025-12,2025-12-01,1350.0,1388.0,1288.0,1320.0,1348.0,1292.0,4.33,
BATAINDIA.NS,2025-12,2025-12-01,1000.0,1004.0,931.0,943.0,963.0,923.0,4.33,
TITAN.NS,2025-12,2025-12-01,3908.0,4062.0,3751.0,4052.0,4138.0,3966.0,4.34,
OIL.NS,2025-12,2025-12-01,413.0,429.0,396.0,424.0,433.0,415.0,4.34,
VGUARD.NS,2025-12,2025-12-01,344.0,346.0,321.0,328.0,335.0,321.0,4.36,
MANKIND.NS,2025-12,2025-12-01,2260.0,2260.0,2090.0,2196.0,2243.0,2149.0,4.37,
RHIM.NS,2025-12,2025-12-01,464.0,468.0,430.0,459.0,469.0,449.0,4.45,
TMPV.NS,2025-12,2025-12-01,359.0,368.0,338.0,367.0,375.0,359.0,4.46,
MAHSCOOTER.NS,2025-12,2025-12-01,14650.0,14930.0,13802.0,14223.0,14533.0,13913.0,4.46,
CHALET.NS,2025-12,2025-12-01,894.0,919.0,851.0,871.0,890.0,852.0,4.46,
PIIND.NS,2025-12,2025-12-01,3410.0,3432.0,3174.0,3238.0,3309.0,3167.0,4.48,
IRCTC.NS,2025-12,2025-12-01,692.0,713.0,658.0,685.0,700.0,670.0,4.48,
TIMKEN.NS,2025-12,2025-12-01,3158.0,3175.0,2936.0,3003.0,3069.0,2937.0,4.49,
ENDURANCE.NS,2025-12,2025-12-01,2674.0,2750.0,2541.0,2590.0,2647.0,2533.0,4.5,
EMCURE.NS,2025-12,2025-12-01,1420.0,1469.0,1360.0,1364.0,1394.0,1334.0,4.5,
KPIL.NS,2025-12,2025-12-01,1198.0,1214.0,1117.0,1202.0,1229.0,1175.0,4.6,
LINDEINDIA.NS,2025-12,2025-12-01,6023.0,6219.0,5732.0,5956.0,6090.0,5822.0,4.6,
JKCEMENT.NS,2025-12,2025-12-01,5752.0,5817.0,5362.0,5531.0,5656.0,5406.0,4.62,
BRIGADE.NS,2025-12,2025-12-01,904.0,909.0,838.0,885.0,905.0,865.0,4.62,
EMAMILTD.NS,2025-12,2025-12-01,530.0,551.0,508.0,529.0,541.0,517.0,4.64,
SUNPHARMA.NS,2025-12,2025-12-01,1841.0,1849.0,1707.0,1720.0,1759.0,1681.0,4.64,
ADANIGREEN.NS,2025-12,2025-12-01,1041.0,1059.0,975.0,1015.0,1038.0,992.0,4.64,
JINDALSTEL.NS,2025-12,2025-12-01,1054.0,1065.0,977.0,1054.0,1078.0,1030.0,4.66,
